pos,name,team_no,team_name,pts,mat,wkts,dots,4s,6s,catches,stumpings
1,Shane Watson ,8,RR,386.0,16,13,101,59,22,6,22
2,Chris Gayle ,9,RCB,349.0,16,3,10,57,51,3,51
3,Dwayne Bravo ,1,CSK,320.0,18,32,135,11,3,14,3
4,Harbhajan Singh ,6,MI,317.0,19,24,163,12,5,9,5
5,Dale Steyn ,62,SRH,304.5,17,19,211,5,2,3,2
6,Mitchell Johnson ,6,MI,301.5,17,24,188,2,2,7,2
7,Kieron Pollard ,6,MI,294.0,18,10,60,27,29,12,29
8,Thisara Perera ,62,SRH,294.0,16,19,136,12,14,5,14
9,Michael Hussey ,1,CSK,287.0,17,0,0,81,17,10,17
10,James Faulkner ,8,RR,286.0,16,28,161,5,2,3,2
11,Sunil Narine ,5,KKR,279.0,16,22,180,0,2,6,2
12,Jacques Kallis ,5,KKR,273.5,16,16,112,35,3,3,3
13,Virat Kohli ,9,RCB,254.5,16,0,0,64,22,7,22
14,Amit Mishra ,62,SRH,252.0,17,21,151,9,0,2,0
15,Vinay Kumar ,9,RCB,250.0,16,23,124,6,3,8,3
16,Mohit Sharma ,1,CSK,236.0,15,20,161,0,0,2,0
17,Bhuvneshwar Kumar     ,7,PWI,228.5,16,13,167,3,1,2,1
18,Ishant Sharma ,62,SRH,227.5,16,15,160,0,0,6,0
19,Lasith Malinga ,6,MI,227.0,17,20,147,1,0,3,0
20,Azhar Mahmood ,4,KXIP,226.5,11,15,99,22,5,1,5
21,Ravindra Jadeja ,1,CSK,219.0,18,13,95,17,6,6,6
22,Dinesh Karthik ,6,MI,219.0,19,0,0,54,14,12,14
23,Suresh Raina ,1,CSK,218.5,18,1,2,50,18,10,18
24,Praveen Kumar ,4,KXIP,217.5,15,12,155,3,3,1,3
25,Irfan Pathan ,3,DC,212.0,15,10,134,9,3,4,3
26,MS Dhoni ,1,CSK,210.0,18,0,0,32,25,15,25
27,Rohit Sharma ,6,MI,206.0,19,0,3,35,28,7,28
28,Umesh Yadav ,3,DC,205.5,16,16,126,3,1,5,1
29,Aaron Finch     ,7,PWI,204.5,14,1,5,54,16,2,16
30,Kevon Cooper ,8,RR,201.5,14,19,98,4,2,8,2
31,Dwayne Smith ,6,MI,200.5,13,2,7,40,19,8,19
32,Ravichandran Ashwin ,1,CSK,193.5,18,15,121,4,0,4,0
33,Stuart Binny ,8,RR,190.0,17,6,57,25,12,3,12
34,Parvinder Awana ,4,KXIP,188.0,14,15,133,0,0,1,0
35,Rahul Dravid ,8,RR,185.0,18,0,0,64,5,3,5
36,Piyush Chawla ,4,KXIP,181.0,16,11,117,5,3,1,3
37,Chris Morris ,1,CSK,178.0,16,15,113,0,0,5,0
38,Ravi Rampaul ,9,RCB,175.5,10,13,109,3,1,4,1
39,David Miller ,4,KXIP,174.0,12,0,0,28,24,8,24
40,Siddharth Trivedi ,8,RR,174.0,17,12,122,0,0,4,0
41,Ashok Dinda     ,7,PWI,171.0,13,16,105,1,0,3,0
42,Pragyan Ojha ,6,MI,169.0,16,16,108,0,0,2,0
43,Ajinkya Rahane ,8,RR,168.5,18,0,0,42,11,10,11
44,Lakshmipathy Balaji ,5,KKR,167.5,13,12,113,1,0,4,0
45,David Warner ,3,DC,166.5,16,0,0,41,14,6,14
46,Robin Uthappa     ,7,PWI,164.5,16,0,0,42,12,7,12
47,Karn Sharma ,62,SRH,158.5,13,11,88,6,2,4,2
48,Adam Gilchrist ,4,KXIP,158.0,13,1,1,41,6,12,6
49,AB de Villiers ,9,RCB,157.5,14,0,0,34,15,8,15
50,Yusuf Pathan ,5,KKR,151.5,16,1,14,30,14,4,14
51,Gautam Gambhir ,5,KKR,150.0,16,0,0,51,5,2,5
52,Yuvraj Singh     ,7,PWI,150.0,13,6,39,14,15,1,15
53,Jaydev Unadkat ,9,RCB,150.0,13,13,102,0,0,1,0
54,Darren Sammy ,62,SRH,148.0,10,8,50,11,10,3,10
55,Moises Henriques ,9,RCB,147.5,10,7,50,20,3,5,3
56,RP Singh ,9,RCB,143.5,11,13,88,0,0,4,0
57,Shahbaz Nadeem ,3,DC,141.5,12,9,95,1,0,5,0
58,Morne Morkel ,3,DC,141.0,10,7,91,6,3,0,3
59,Virender Sehwag ,3,DC,136.0,13,0,0,41,6,5,6
60,Manvinder Bisla ,5,KKR,136.0,14,0,0,36,6,7,6
61,Eoin Morgan ,5,KKR,130.5,14,0,0,28,13,6,13
62,Mahela Jayawardene ,3,DC,128.5,15,0,0,39,6,4,6
63,Rajat Bhatia ,5,KKR,128.0,15,11,59,8,3,0,3
64,Angelo Mathews     ,7,PWI,127.5,11,5,50,5,10,5,10
65,Mitchell Marsh     ,7,PWI,127.0,9,7,35,6,10,7,10
66,Parthiv Patel ,62,SRH,126.5,13,0,0,37,4,5,4
67,Ashish Nehra ,3,DC,125.0,10,11,84,0,0,1,0
68,Rahul Sharma     ,7,PWI,124.0,11,9,85,1,0,2,0
69,Sachin Tendulkar ,6,MI,122.5,14,0,0,38,5,4,5
70,Shaun Marsh ,4,KXIP,119.0,8,0,0,39,4,3,4
71,Shikhar Dhawan ,62,SRH,117.5,10,0,0,37,5,3,5
72,Brad Hodge ,8,RR,117.0,17,0,3,27,9,6,9
73,Murali Vijay ,1,CSK,115.5,15,0,0,27,8,8,8
74,Murali Kartik ,9,RCB,112.5,11,9,71,0,0,4,0
75,Sachithra Senanayake ,5,KKR,109.5,8,9,73,0,0,2,0
76,Manpreet Gony ,4,KXIP,107.0,8,7,62,4,3,0,3
77,Mandeep Singh ,4,KXIP,105.0,16,0,0,36,0,6,0
78,Albie Morkel ,1,CSK,104.0,8,7,59,2,3,2,3
79,Cameron White ,62,SRH,103.0,13,1,5,18,7,10,7
80,David Hussey ,4,KXIP,100.0,12,0,19,20,6,4,6
81,Sanju Samson ,8,RR,97.5,11,0,0,19,5,13,5
82,Ajit Chandila ,8,RR,95.0,8,6,64,0,0,4,0
83,Ambati Rayudu ,6,MI,89.0,19,0,0,22,4,8,4
84,Shanthakumaran Sreesanth ,8,RR,84.5,7,5,67,0,0,0,0
85,Johan Botha ,3,DC,83.0,6,5,37,5,1,5,1
86,Dhawal Kulkarni ,6,MI,81.0,6,8,53,0,0,0,0
87,Ben Rohrer ,3,DC,78.5,8,0,1,21,5,3,5
88,Hanuma Vihari ,62,SRH,76.5,17,1,17,17,1,4,1
89,Ashish Reddy ,62,SRH,75.5,12,3,10,8,5,7,5
90,Luke Wright     ,7,PWI,74.5,6,2,12,16,3,2,3
91,Dirk Nannes ,1,CSK,71.5,5,4,50,0,0,3,0
92,Manan Vohra ,4,KXIP,69.5,12,0,0,22,2,3,2
93,Sandeep Sharma ,4,KXIP,69.0,4,8,41,0,0,0,0
94,Dishant Yagnik ,8,RR,67.0,12,0,0,17,2,6,2
95,Unmukt Chand ,3,DC,66.5,9,0,0,17,4,4,4
96,Iqbal Abdulla ,5,KKR,65.5,5,7,41,0,0,0,0
97,Jason Holder ,1,CSK,61.5,6,2,47,0,0,3,0
98,Steve Smith     ,7,PWI,61.5,7,0,0,15,4,4,4
99,Siddarth Kaul ,3,DC,60.5,6,4,44,0,0,1,0
100,Brett Lee ,5,KKR,60.0,3,4,34,1,2,1,2
101,Manoj Tiwary ,5,KKR,58.5,10,0,0,12,1,10,1
102,Wayne Parnell     ,7,PWI,56.5,4,6,33,0,0,1,0
